Rank,Name,Team,Position,Bye,Point Prediction,Injury Report
79,Keke Coutee,HOU,WR,10,84.11,
80,D.K. Metcalf,SEA,WR,11,83.46,
81,Parris Campbell,IND,WR,6,82.35,
82,Marquez Valdes-Scantling,GB,WR,11,82.21,
83,Geronimo Allison,GB,WR,11,80.76,
84,Paul Richardson,WAS,WR,10,79.34,Shoulder | Questionable for Week 1
85,DaeSean Hamilton,DEN,WR,10,78.86,
86,DeVante Parker,MIA,WR,5,78.56,
87,Lil'Jordan Humphrey,NO,WR,9,77.49,
88,Keelan Cole,JAC,WR,10,76.62,
89,Trey Quinn,WAS,WR,10,76.6,
90,Rashard Higgins,CLE,WR,7,75.78,
91,Josh Doctson,WAS,WR,10,75.63,
92,Jaron Brown,SEA,WR,11,75.46,
93,Randall Cobb,DAL,WR,8,75.14,
94,Willie Snead,BAL,WR,8,74.44,
95,Cole Beasley,BUF,WR,6,74.08,Abdomen | Questionable for Week 1
96,Quincy Enunwa,NYJ,WR,4,73.55,
97,DaMarkus Lodge,TB,WR,7,73.09,
98,Terry McLaurin,WAS,WR,10,71.56,
99,Aldrick Robinson,CAR,WR,7,71.34,Hamstring | Questionable for Week 1
100,Andy Isabella,ARI,WR,12,70.67,
101,Kendrick Bourne,SF,WR,4,69.85,
102,Breshad Perriman,TB,WR,7,69.0,
103,Danny Amendola,DET,WR,5,68.52,
104,Torrey Smith,CAR,WR,7,68.01,Knee | Questionable for Week 1
105,Preston Williams,MIA,WR,5,67.7,
106,Cordarrelle Patterson,CHI,WR,6,67.59,
107,Michael Gallup,DAL,WR,8,67.58,
108,Vyncint Smith,HOU,WR,10,66.13,
109,Jake Kumerow,GB,WR,11,66.13,
110,Cameron Meredith,NO,WR,9,65.22,Knee | Questionable for Week 1
111,Cody Latimer,NYG,WR,11,64.98,
112,Phillip Dorsett,NE,WR,10,64.78,
113,Seth Roberts,BAL,WR,8,64.66,
114,Darius Slayton,NYG,WR,11,64.61,
115,Tim Patrick,DEN,WR,10,64.14,
116,Keith Kirkwood,NO,WR,9,63.97,Undisclosed | Questionable for Week 1
117,Jermaine Kearse,DET,WR,5,62.97,
118,Jordan Matthews,SF,WR,4,62.36,
119,Russell Shepard,NYG,WR,11,59.99,
120,Trent Sherfield,ARI,WR,12,59.88,
121,Tajae Sharpe,TEN,WR,11,59.7,
122,Tavon Austin,DAL,WR,8,59.51,Undisclosed | Questionable for Week 1
123,Riley Ridley,CHI,WR,6,58.03,
124,Chester Rogers,IND,WR,6,57.92,
125,Anthony Johnson,TB,WR,7,56.56,
126,Dez Bryant,FA,WR,,56.4,
127,John Ross,CIN,WR,9,55.76,
128,Chris Conley,JAC,WR,10,55.31,
129,Brandon Powell,DET,WR,5,54.28,
130,Demarcus Robinson,KC,WR,12,54.06,
131,Travis Benjamin,LAC,WR,12,54.0,
132,Taywan Taylor,TEN,WR,11,53.23,
133,Justin Hardy,ATL,WR,9,52.9,
134,Mecole Hardman,KC,WR,12,52.75,
135,Richie James,SF,WR,4,52.19,
136,James Washington,PIT,WR,7,52.17,
137,Brice Butler,MIA,WR,5,51.35,Leg | Questionable for Week 1
138,Scott Miller,TB,WR,7,51.13,
139,Michael Crabtree,FA,WR,,50.97,
140,Zach Pascal,IND,WR,6,49.95,
141,Jakeem Grant,MIA,WR,5,49.93,Achilles | Questionable for Week 1
142,Marcell Ateman,OAK,WR,6,48.95,
143,Maurice Harris,NE,WR,10,48.64,
144,Deontay Burnett,NYJ,WR,4,48.59,
145,Austin Carr,NO,WR,9,48.31,
146,Ryan Grant,OAK,WR,6,47.98,
147,Jarius Wright,CAR,WR,7,47.4,
148,Isaiah McKenzie,BUF,WR,6,46.72,
149,Cody Core,CIN,WR,9,46.49,
150,Bennie Fowler,NYG,WR,11,46.47,
151,Equanimeous St. Brown,GB,WR,11,45.25,
152,KeeSean Johnson,ARI,WR,12,44.99,
153,Rishard Matthews,NO,WR,9,44.83,
154,Damion Ratley,CLE,WR,7,43.83,
155,Derrick Willies,CLE,WR,7,43.3,Collarbone | Questionable for Week 1
156,Corey Coleman,NYG,WR,11,42.44,
157,Diontae Johnson,PIT,WR,7,41.75,
158,Travis Fulgham,DET,WR,5,40.88,
159,Marvin Hall,CHI,WR,6,39.92,
160,Trent Taylor,SF,WR,4,39.83,
161,Andy Jones,DET,WR,5,39.42,
162,Juwann Winfree,DEN,WR,10,38.46,Calf | Questionable for Week 1
163,Eli Rogers,PIT,WR,7,38.28,
164,J.J. Nelson,OAK,WR,6,38.06,
165,Josh Bellamy,NYJ,WR,4,37.89,
166,Pierre Garcon,FA,WR,,37.53,
167,Kelvin Benjamin,FA,WR,,37.47,
168,Chad Williams,ARI,WR,12,37.17,
169,Chris Moore,BAL,WR,8,37.03,
170,Miles Boykin,BAL,WR,8,36.04,Hamstring | Questionable for Week 1
171,D.J. Chark,JAC,WR,10,35.8,
172,Hunter Renfrow,OAK,WR,6,35.64,
173,Kevin White,ARI,WR,12,34.73,
174,Laquon Treadwell,MIN,WR,12,33.43,
175,Allen Hurns,FA,WR,,31.25,
176,Mack Hollins,PHI,WR,10,29.41,Groin | Questionable for Week 1
177,Bruce Ellington,FA,WR,,28.94,
178,Jordan Taylor,MIN,WR,12,28.01,
179,Andre Roberts,BUF,WR,6,26.2,
180,Bobo Wilson,TB,WR,7,25.27,Undisclosed | Questionable for Week 1
181,Gehrig Dieter,KC,WR,12,24.78,
182,Brandon Zylstra,MIN,WR,12,24.29,Undisclosed | Questionable for Week 1
183,Ryan Switzer,PIT,WR,7,24.08,
184,Alex Erickson,CIN,WR,9,22.64,
185,Chad Beebe,MIN,WR,12,22.41,
186,Russell Gage,ATL,WR,9,21.63,
187,Dwayne Harris,OAK,WR,6,21.51,
188,Auden Tate,CIN,WR,9,12.07,
189,Noah Brown,DAL,WR,8,11.25,Knee | Questionable for Week 1
190,J'Mon Moore,GB,WR,11,8.48,
191,Marcus Kemp,KC,WR,12,7.88,
192,Justin Watson,TB,WR,7,5.63,
193,Braxton Berrios,NE,WR,10,0,
194,Byron Pringle,KC,WR,12,0,
195,DeAndre Carter,HOU,WR,10,0,Undisclosed | Physically Unable to Perform
196,DeAndre Hopkins,HOU,WR,10,0,Ankle | Physically Unable to Perform
197,Demaryius Thomas,NE,WR,10,0,Achilles | Physically Unable to Perform
198,Deon Cain,IND,WR,6,0,Knee - ACL | Questionable for Week 1
199,Dylan Cantrell,LAC,WR,12,0,
200,Geremy Davis,LAC,WR,12,0,
201,J.J. Arcega-Whiteside,PHI,WR,10,0,
202,Jaleel Scott,BAL,WR,8,0,
203,Jawill Davis,GB,WR,11,0,Kneecap | Questionable for Week 1
204,Jordan Lasley,BAL,WR,8,0,
205,Khadarel Hodge,LAR,WR,9,0,
206,Tommylee Lewis,DET,WR,5,0,Undisclosed | Physically Unable to Perform
